,Epsilons,A_0,E/M
0.74,-0.32866812232614,-0.2929966052382976,0.8783927947393282
0.74017,-0.32921811038807924,-0.29371910297556986,0.8781613156170277
0.74034,-0.3297618915265489,-0.294462471678536,0.8779320406136174
0.74051,-0.33039128763400644,-0.29528606675495533,0.8776709737970709
0.74067,-0.3309519495734006,-0.2960503106142654,0.8774369097547347
0.74084,-0.3314962124205271,-0.2968143617566928,0.8772071729951884
0.74101,-0.3320553574111763,-0.29761026550836883,0.8769718298023721
0.74118,-0.33264500471926584,-0.2984391777631685,0.8767250877010873
0.74135,-0.33415534245485007,-0.30009089326841404,0.8761369684355484
0.74152,-0.3349189093817033,-0.30111106472458493,0.8758254651576397
0.74168,-0.33772683103024315,-0.3038426182824454,0.8747573819807446
0.74185,-0.33727646320865884,-0.3039036983571257,0.8748957278843282
0.74202,-0.3370458207840089,-0.30403543976710007,0.8749526300309248
0.74219,-0.33851083478468486,-0.30579975545269167,0.8743803217655773
0.74236,-0.3383910780848895,-0.30658983977274407,0.8743959996364508
0.74253,-0.3406113568897573,-0.3085815982116868,0.8735429245843243
0.74269,-0.3423650742804952,-0.31074037116220726,0.8728644414913096
0.74286,-0.3440411861552075,-0.3128837641935583,0.8722127822263712
0.74303,-0.3457524940882909,-0.31602117458276824,0.8715477621587886
0.7432,-0.3505371278139334,-0.32214665463062647,0.8697404033043423
